Country;Year;Coal;Oil;Marker size;
US;1965;291,8264159;548,933;1;
US;1966;306,0004759;575,664;1;
US;1967;300,2214603;595,761;1;
US;1968;310,7278459;635,452;1;
US;1969;312,0095615;667,791;1;
US;1970;309,0609017;694,59;1;
US;1971;292,2750531;719,269;1;
US;1972;304,333198;775,841;1;
US;1973;326,8760529;818,032;1;
US;1974;319,0991483;782,554;1;
US;1975;319,0968286;765,897;1;
US;1976;342,3127261;822,355;1;
US;1977;350,8311015;865,855;1;
US;1978;346,8866553;888,848;1;
US;1979;378,9911891;868,025;1;
US;1980;388,6482617;794,106;1;
US;1981;400,8629229;745,996;1;
US;1982;386,0973541;705,541;1;
US;1983;400,533196;704,89;1;
US;1984;430,172438;723,275;1;
US;1985;440,4489678;720,167;1;
US;1986;434,9548904;749,336;1;
US;1987;453,8053245;764,788;1;
US;1988;474,9190847;796,739;1;
US;1989;480,5499312;795,309;1;
US;1990;483,1422736;781,821;1;
US;1991;478,5820367;765,576;1;
US;1992;481,8781706;782,245;1;
US;1993;499,8373166;789,347;1;
US;1994;501,7100176;809,784;1;
US;1995;506,2275189;807,73;1;
US;1996;529,2394631;836,546;1;
US;1997;540,4150278;848,023;1;
US;1998;545,7156635;863,756;1;
US;1999;544,8791762;888,892;1;
US;2000;568,9946014;897,641;1;
US;2001;552,2305155;896,07;1;
US;2002;551,9714661;897,358;1;
US;2003;562,4780048;912,262;1;
US;2004;566,1388164;948,7531533;1;
US;2005;574,2072819;951,374;1;
US;2006;565,6590815;943,802501;1;
US;2007;573,2767931;942,3028776;1;
US;2008;564,0972426;888,4813667;1;
US;2009;497,9783087;842,8884624;1;
Brazil;1965;1,735;14,878;0,5;
Brazil;1966;1,88;16,218;0,5;
Brazil;1967;1,943;16,759;0,5;
Brazil;1968;1,912;20,139;0,5;
Brazil;1969;2,134;22,109;0,5;
Brazil;1970;2,358;25,1842422;0,5;
Brazil;1971;2,424;27,95661695;0,5;
Brazil;1972;2,439;32,14776468;0,5;
Brazil;1973;2,415;39,80398283;0,5;
Brazil;1974;2,517;42,97944575;0,5;
Brazil;1975;3,018;44,45149585;0,5;
Brazil;1976;3,449;47,8998351;0,5;
Brazil;1977;4,196;49,25917808;0,5;
Brazil;1978;4,602;54,22204254;0,5;
Brazil;1979;5,076;57,6619343;0,5;
Brazil;1980;5,517;56,37558146;0,5;
Brazil;1981;5,688;53,85133869;0,5;
Brazil;1982;5,934;54,75825001;0,5;
Brazil;1983;6,646;53,25755973;0,5;
Brazil;1984;8,303;54,4573721;0,5;
Brazil;1985;9,881;55,96432589;0,5;
Brazil;1986;10,069;61,85354384;0,5;
Brazil;1987;10,115;63,27721053;0,5;
Brazil;1988;10,043;64,92007575;0,5;
Brazil;1989;9,907;66,01905391;0,5;
Brazil;1990;9,533;64,25707069;0,5;
Brazil;1991;10,232;65,09700165;0,5;
Brazil;1992;9,896;68,02978934;0,5;
Brazil;1993;10,274;69,083495;0,5;
Brazil;1994;10,321;72,35442875;0,5;
Brazil;1995;10,796;76,10357292;0,5;
Brazil;1996;11,339;81,2966529;0,5;
Brazil;1997;11,495;86,8289093;0,5;
Brazil;1998;11,35;90,02168112;0,5;
Brazil;1999;11,902;92,53030102;0,5;
Brazil;2000;12,509;91,60117594;0,5;
Brazil;2001;12,215;92,89048659;0,5;
Brazil;2002;11,451;91,6258705;0,5;
Brazil;2003;11,77;87,796909;0,5;
Brazil;2004;12,77;88,365684;0,5;
Brazil;2005;12,663;89,45419909;0,5;
Brazil;2006;12,536;92,1314102;0,5;
Brazil;2007;13,359;99,03787036;0,5;
Brazil;2008;13,483;104,8473582;0,5;
Brazil;2009;11,706;104,3098393;0,5;
France;1965;45,055;53,887;0,5;
France;1966;41,341;57,663;0,5;
France;1967;41,804;66,219;0,5;
France;1968;40,045;71,782;0,5;
France;1969;39,787;82,953;0,5;
France;1970;37,826;94,272;0,5;
France;1971;33,838;102,768;0,5;
France;1972;29,548;114,123;0,5;
France;1973;29,45;127,269;0,5;
France;1974;30,329;121,007;0,5;
France;1975;26,459;110,378;0,5;
France;1976;30,03;119,452;0,5;
France;1977;29,821;114,582;0,5;
France;1978;30,469;118,961;0,5;
France;1979;28,5;118,343;0,5;
France;1980;27,7;109,891;0,5;
France;1981;25,1;99,004;0,5;
France;1982;28,6;91,504;0,5;
France;1983;25,3;89,4;0,5;
France;1984;25,17;85,888;0,5;
France;1985;22,98;84,3;0,5;
France;1986;19,58;86,04;0,5;
France;1987;17,9;86,6;0,5;
France;1988;17,1;86;0,5;
France;1989;19,6;88,4;0,5;
France;1990;19,1;89,4;0,5;
France;1991;20,1;94,645;0,5;
France;1992;17,9;94,444;0,5;
France;1993;14,712;91,087;0,5;
France;1994;13,722;88,227;0,5;
France;1995;14,519;89,041;0,5;
France;1996;15,391;90,996;0,5;
France;1997;13,448;91,664;0,5;
France;1998;16,127;94,978;0,5;
France;1999;14,349;96,448;0,5;
France;2000;13,898;94,938;0,5;
France;2001;12,11;95,454;0,5;
France;2002;12,418;92,876;0,5;
France;2003;13,251;93,086;0,5;
France;2004;12,84;94,0492;0,5;
France;2005;13,26;93,0645;0,5;
France;2006;12,06;92,9943;0,5;
France;2007;12,3;91,4336;0,5;
France;2008;11,94;90,8375;0,5;
France;2009;10,14;87,4578;0,5;
Germany;1965;163,519;86,274;0,5;
Germany;1966;152,661;96,472;0,5;
Germany;1967;147,06;100,073;0,5;
Germany;1968;149,171;112,366;0,5;
Germany;1969;153,59;126,325;0,5;
Germany;1970;151,669;138,749;0,5;
Germany;1971;144,52;144,039;0,5;
Germany;1972;140,08;152,236;0,5;
Germany;1973;141,211;162,23;0,5;
Germany;1974;139,63;146,979;0,5;
Germany;1975;128,332;142,617;0,5;
Germany;1976;134,386;154,035;0,5;
Germany;1977;130,88;152,471;0,5;
Germany;1978;132,287;158,118;0,5;
Germany;1979;139,511;163,161;0,5;
Germany;1980;139,55;147,317;0,5;
Germany;1981;141,267;133,448;0,5;
Germany;1982;140,105;125,939;0,5;
Germany;1983;141,006;123,096;0,5;
Germany;1984;147,412;122,471;0,5;
Germany;1985;147,649;126,338;0,5;
Germany;1986;143,439;133,263;0,5;
Germany;1987;141,297;129,486;0,5;
Germany;1988;140,112;129,37;0,5;
Germany;1989;138,225;121,609;0,5;
Germany;1990;129,58;127,277;0,5;
Germany;1991;113,274;133,142;0,5;
Germany;1992;104,37;134,338;0,5;
Germany;1993;97,93;136,317;0,5;
Germany;1994;95,55;135,136;0,5;
Germany;1995;90,58;135,145;0,5;
Germany;1996;89,88;137,356;0,5;
Germany;1997;86,8;136,452;0,5;
Germany;1998;84,77;136,591;0,5;
Germany;1999;80,22;132,396;0,5;
Germany;2000;84,893;129,78;0,5;
Germany;2001;84,965;131,589;0,5;
Germany;2002;84,631;127,431;0,5;
Germany;2003;87,185;125,128;0,5;
Germany;2004;85,371;123,983;0,5;
Germany;2005;82,13910385;122,398;0,5;
Germany;2006;83,52441005;123,552;0,5;
Germany;2007;85,67402312;112,491;0,5;
Germany;2008;80,10891373;118,884;0,5;
Germany;2009;71,00888507;113,876;0,5;
United Kingdom;1965;117,397;74,223;0,5;
United Kingdom;1966;111,73;79,472;0,5;
United Kingdom;1967;104,371;85,254;0,5;
United Kingdom;1968;104,45;90,388;0,5;
United Kingdom;1969;101,81;97,321;0,5;
United Kingdom;1970;96,024;103,57;0,5;
United Kingdom;1971;85,1;104,272;0,5;
United Kingdom;1972;74,542;110,537;0,5;
United Kingdom;1973;80,738;113,227;0,5;
United Kingdom;1974;71,08;105,258;0,5;
United Kingdom;1975;71,505;92,043;0,5;
United Kingdom;1976;72,766;91,36;0,5;
United Kingdom;1977;73,005;92,024;0,5;
United Kingdom;1978;71,121;94,032;0,5;
United Kingdom;1979;76,45;94,545;0,5;
United Kingdom;1980;71,065;80,801;0,5;
United Kingdom;1981;70,679;74,66;0,5;
United Kingdom;1982;65,919;75,56;0,5;
United Kingdom;1983;66,532;72,433;0,5;
United Kingdom;1984;47,276;89,612;0,5;
United Kingdom;1985;62,879;77,429;0,5;
United Kingdom;1986;67,908;77,384;0,5;
United Kingdom;1987;69,569;75,16;0,5;
United Kingdom;1988;67,532;79,972;0,5;
United Kingdom;1989;65,004;81,732;0,5;
United Kingdom;1990;64,945;82,884;0,5;
United Kingdom;1991;65,055;82,51;0,5;
United Kingdom;1992;61,168;83,564;0,5;
United Kingdom;1993;53,266;84,002;0,5;
United Kingdom;1994;49,734;82,922;0,5;
United Kingdom;1995;47,456;81,903;0,5;
United Kingdom;1996;44,366;83,926;0,5;
United Kingdom;1997;39,568;81,328;0,5;
United Kingdom;1998;38,5805;80,653;0,5;
United Kingdom;1999;34,3007;79,377;0,5;
United Kingdom;2000;36,7281;78,57;0,5;
United Kingdom;2001;38,9119;78,441;0,5;
United Kingdom;2002;35,7101;78,039;0,5;
United Kingdom;2003;38,1039;79,031;0,5;
United Kingdom;2004;36,61620428;81,699;0,5;
United Kingdom;2005;37,42764405;83,00994461;0,5;
United Kingdom;2006;40,84233891;82,31701438;0,5;
United Kingdom;2007;38,24238847;79,24121433;0,5;
United Kingdom;2008;35,46414151;77,94463963;0,5;
United Kingdom;2009;29,74482595;74,38615022;0,5;
China;1965;165,633;10,96;1;
China;1966;180,564;14,074;1;
China;1967;125,979;13,9;1;
China;1968;166,29;15,2;1;
China;1969;177,27;20,377;1;
China;1970;196,494;28,191;1;
China;1971;212,973;38,43;1;
China;1972;216,859;44,175;1;
China;1973;228,043;53,83;1;
China;1974;239,67;61,89;1;
China;1975;250,897;68,25;1;
China;1976;263,138;78,03;1;
China;1977;276,295;82,4;1;
China;1978;296,274;91,25;1;
China;1979;327,46;91,1;1;
China;1980;305,109;85,351;1;
China;1981;304;81,136;1;
China;1982;322,884;80,143;1;
China;1983;339,591;81,784;1;
China;1984;377,172;84,619;1;
China;1985;410,734;89,813;1;
China;1986;437,404;95,672;1;
China;1987;466,807;101,514;1;
China;1988;499,829;108,827;1;
China;1989;519,948;113,942;1;
China;1990;529,879;112,846;1;
China;1991;555,453;121,847;1;
China;1992;573,501;132,371;1;
China;1993;610,583;145,7812;1;
China;1994;648,172;148,1138;1;
China;1995;694,554;160,1847;1;
China;1996;729,351;173,7994;1;
China;1997;700,167;196,0471;1;
China;1998;651,893;197,0463;1;
China;1999;656,209;209,6038;1;
China;2000;667,445257;223,6295;1;
China;2001;681,285462;227,8863;1;
China;2002;713,786405;247,4107;1;
China;2003;853,073215;271,7139;1;
China;2004;983,047552;318,868;1;
China;2005;1100,471145;327,807029;1;
China;2006;1214,955673;347,658;1;
China;2007;1313,597558;364,3681;1;
China;2008;1406,076698;380,2644;1;
China;2009;1537,4146;404,6023;1;
India;1965;35,5466338;12,642;0,5;
India;1966;35,46133803;14,126;0,5;
India;1967;36,05204225;14,57;0,5;
India;1968;37,30221127;16,316;0,5;
India;1969;39,62521127;19,596;0,5;
India;1970;37,55880282;19,505;0,5;
India;1971;38,08015493;20,475;0,5;
India;1972;40,21350704;22,091;0,5;
India;1973;39,67750704;23,314;0,5;
India;1974;44,78556338;22,834;0,5;
India;1975;48,14326761;23,347;0,5;
India;1976;50,13197183;24,593;0,5;
India;1977;52,48032394;26,413;0,5;
India;1978;50,78797183;28,717;0,5;
India;1979;53,95467606;31,004;0,5;
India;1980;56,71238028;31,633;0,5;
India;1981;63,24911668;34,036;0,5;
India;1982;63,06230312;35,403;0,5;
India;1983;66,15882074;37,223;0,5;
India;1984;69,4585048;39,934;0,5;
India;1985;72,54391644;43,333;0,5;
India;1986;78,01044929;45,53;0,5;
India;1987;85,92151412;46,995;0,5;
India;1988;91,65669846;51,53;0,5;
India;1989;99,9551009;55,801;0,5;
India;1990;95,4575093;57,943;0,5;
India;1991;101,7607658;58,903;0,5;
India;1992;108,2183607;62,075;0,5;
India;1993;112,5073058;62,662;0,5;
India;1994;115,8290594;67,384;0,5;
India;1995;124,952927;75,232;0,5;
India;1996;134,3949026;81,062;0,5;
India;1997;135,8988391;86,503;0,5;
India;1998;136,0645463;92,527;0,5;
India;1999;135,7521351;100,303;0,5;
India;2000;144,2432145;106,147;0,5;
India;2001;145,1892237;106,964;0,5;
India;2002;151,8475412;111,262;0,5;
India;2003;156,8018514;113,066;0,5;
India;2004;172,2584572;120,153;0,5;
India;2005;184,4377164;119,576;0,5;
India;2006;195,4427498;120,407;0,5;
India;2007;210,2713291;132,9309541;0,5;
India;2008;230,8647368;143,6015143;0,5;
India;2009;245,8204788;148,506073;0,5;
Japan;1965;43,598;87,881;0,5;
Japan;1966;45,541;99,988;0,5;
Japan;1967;50,886;122,901;0,5;
Japan;1968;53,942;142,665;0,5;
Japan;1969;58,151;168,985;0,5;
Japan;1970;60,199;199,145;0,5;
Japan;1971;53,861;219,669;0,5;
Japan;1972;50,459;234,362;0,5;
Japan;1973;53,668;269,071;0,5;
Japan;1974;57,338;258,948;0,5;
Japan;1975;54,44;244,014;0,5;
Japan;1976;52,527;253,471;0,5;
Japan;1977;52,482;260,376;0,5;
Japan;1978;46,466;262,666;0,5;
Japan;1979;50,435;265,11;0,5;
Japan;1980;57,604;237,679;0,5;
Japan;1981;63,585;223,935;0,5;
Japan;1982;62;207,82;0,5;
Japan;1983;63;207,189;0,5;
Japan;1984;69,89;217,954;0,5;
Japan;1985;73,747;206,341;0,5;
Japan;1986;69,549;208,488;0,5;
Japan;1987;69,371;209,281;0,5;
Japan;1988;76,207;224,688;0,5;
Japan;1989;75,618;232,895;0,5;
Japan;1990;75,961;247,7166451;0,5;
Japan;1991;79,004;252,1245335;0,5;
Japan;1992;77,988;257,5157629;0,5;
Japan;1993;79,172;251,9337272;0,5;
Japan;1994;82,026;267,4358202;0,5;
Japan;1995;86,199;267,5840321;0,5;
Japan;1996;88,275;268,8179369;0,5;
Japan;1997;89,788;265,0415316;0,5;
Japan;1998;88,447;253,6097483;0,5;
Japan;1999;91,477;257,3140502;0,5;
Japan;2000;98,871;255,4581622;0,5;
Japan;2001;103,047;247,5358283;0,5;
Japan;2002;106,604;243,5586998;0,5;
Japan;2003;112,187;248,9017542;0,5;
Japan;2004;120,782;241,1465905;0,5;
Japan;2005;121,282;244,1192396;0,5;
Japan;2006;119,1052769;237,4757141;0,5;
Japan;2007;125,335313;229,3073897;0,5;
Japan;2008;128,663577;221,8539;0,5;
Japan;2009;108,7820085;197,5818839;0,5;
